model_name,model_type,debias_method,prefix_mode,prefix_layers,n_prefix_tokens,epochs,batch_size,lr,num_warmup_steps,seed,training_time (minutes),n_parameters,seat 6 effect_size,seat 6 p_val,seat 7 effect_size,seat 7 p_val,seat 8 effect_size,seat 8 p_val,seat stereo effect_size,seat stereo p_val,lpbs adjectives bias_score,lpbs adjectives bias_score_std,lpbs kaneko_stereotypes bias_score,lpbs kaneko_stereotypes bias_score_std,lpbs occupations bias_score,lpbs occupations bias_score_std,downstream_task,head_size,probe gender_acc,probe stereotype_acc,probe stereotype_conf,probe p_value,sst2,mrpc,rte,wsc
bert-base-uncased,prefix,kaneko,identity,all,8,3,32,0.0005,100,42,16.5,6144,-0.0802,0.6754,-0.2902,0.9601,0.0122,0.4736,-0.1717,0.9251,1.0199,0.8958,1.5524,1.1142,1.223,1.0413,,,,,,,,,,
bert-base-uncased,prefix,kaneko,identity,all,8,1,32,2e-05,40,42,1.5,110107195,1.3839,0.0,-0.2902,0.9585,-0.018,0.5388,1.3804,0.0,0.9335,0.8552,1.1936,0.9434,1.639,1.341,probe,1.0,99.9,73.93,0.4203,0.0,,,,
bert-base-uncased,prefix,kaneko,identity,all,8,1,32,2e-06,40,42,3.5,110107195,0.1639,0.1758,0.3801,0.0109,-0.3315,0.9604,0.3317,0.0027,0.9189,0.6765,1.1,0.9462,0.8329,0.7683,sst2,1.0,,,,,50.16,,,
bert-base-uncased,prefix,kaneko,identity,all,8,4,24,2e-06,40,42,2.7,110107195,0.2754,0.0586,0.2897,0.0412,0.0558,0.3841,0.0589,0.3112,0.5623,0.4815,0.8689,0.6492,0.7807,0.7047,mrpc,1.0,,,,,,65.41,,
bert-base-uncased,prefix,kaneko,identity,all,8,4,16,5e-06,40,42,1.8,110107195,0.0395,0.4119,0.1482,0.1874,0.3688,0.0252,0.2043,0.0441,0.7822,0.6797,1.4308,1.1674,1.1871,0.9561,rte,1.0,,,,,,,49.07,
bert-base-uncased,prefix,kaneko,identity,all,8,20,24,2e-06,40,42,2.1,111286843,0.1898,0.1405,0.3224,0.027,-0.0509,0.6054,0.2709,0.012,0.7274,0.6107,1.4268,1.2588,0.9737,0.8721,wsc,3.0,,,,,,,,55.95
bert-base-uncased,prefix,kaneko,replace,all,8,3,32,0.0005,100,42,16.4,73728,0.1436,0.2086,0.1233,0.2296,0.2795,0.0689,-0.002,0.507,0.7575,0.5782,0.8124,0.6856,0.7209,0.5485,,,,,,,,,,
bert-base-uncased,prefix,kaneko,replace,all,8,1,32,2e-05,40,42,1.5,110107195,0.2516,0.0775,0.381,0.0107,0.1019,0.2979,0.6347,0.0,0.7444,0.6156,0.8689,0.6388,0.9501,0.7195,probe,1.0,99.9,75.34,0.4409,0.0,,,,
bert-base-uncased,prefix,kaneko,replace,all,8,1,32,2e-06,40,42,3.5,110107195,0.3671,0.0183,0.3223,0.0258,0.0908,0.3171,0.7778,0.0,0.7681,0.5942,0.9308,0.6571,0.6831,0.5317,sst2,1.0,,,,,50.46,,,
bert-base-uncased,prefix,kaneko,replace,all,8,4,24,2e-06,40,42,2.7,110107195,0.4318,0.0065,0.0375,0.4114,0.0265,0.4443,0.1691,0.0782,0.8283,0.5975,0.9241,0.7235,0.8019,0.6331,mrpc,1.0,,,,,,63.97,,
bert-base-uncased,prefix,kaneko,replace,all,8,4,16,5e-06,40,42,1.8,110107195,0.1885,0.1433,-0.0961,0.7163,0.0207,0.4542,-0.0829,0.7541,0.6423,0.4927,0.8847,0.6453,0.7736,0.5475,rte,1.0,,,,,,,47.21,
bert-base-uncased,prefix,kaneko,replace,all,8,20,24,2e-06,40,42,2.1,111286843,0.1976,0.133,0.0857,0.3016,0.005,0.4911,0.1892,0.0576,0.7137,0.5423,0.707,0.5325,0.7467,0.5971,wsc,3.0,,,,,,,,61.39
bert-base-uncased,prefix,kaneko,linear,all,8,3,32,0.0005,100,42,16.7,141312,0.0451,0.3997,-0.0029,0.5066,0.0642,0.3697,0.1143,0.1678,0.5555,0.4129,0.4831,0.3721,0.4637,0.3427,,,,,,,,,,
bert-base-uncased,prefix,kaneko,linear,all,8,1,32,2e-05,40,42,1.5,110107195,0.6959,0.0,-0.1679,0.8433,0.1554,0.2071,0.1763,0.07,0.8773,0.652,0.9247,0.7136,0.803,0.6429,probe,1.0,96.74,80.42,0.4112,0.0,,,,
bert-base-uncased,prefix,kaneko,linear,all,8,1,32,2e-06,40,42,3.5,110107195,0.365,0.0186,0.0005,0.4981,0.1819,0.1701,-0.0134,0.5437,0.7771,0.8181,0.623,0.4469,0.6861,0.4995,sst2,1.0,,,,,49.53,,,
bert-base-uncased,prefix,kaneko,linear,all,8,4,24,2e-06,40,42,2.7,110107195,-0.1366,0.7778,0.1546,0.1775,-0.0876,0.6791,0.109,0.179,0.6869,0.5167,0.7314,0.5552,0.6524,0.5234,mrpc,1.0,,,,,,68.38,,
bert-base-uncased,prefix,kaneko,linear,all,8,4,16,5e-06,40,42,1.9,110107195,-0.0355,0.5791,0.0236,0.4458,-0.146,0.7786,0.0495,0.3417,0.4387,0.3395,0.7094,0.4771,0.4861,0.3726,rte,1.0,,,,,,,48.65,
bert-base-uncased,prefix,kaneko,linear,all,8,20,24,2e-06,40,42,2.1,111286843,0.2499,0.0788,-0.0466,0.6101,0.0316,0.4361,-0.2805,0.99,0.5388,0.4186,0.7848,0.5899,0.9319,0.7491,wsc,3.0,,,,,,,,63.2
